AQI,Concentration,Date,Health,Location,count
14,3.3,6/6/18,Good,Bend,24
16,3.8,6/6/18,Good,La Grande,24
11,2.7,6/6/18,Good,Medford,23
16,3.8,6/6/18,Good,Portland,24
13,3.2,6/5/18,Good,Bend,24
13,3,6/5/18,Good,La Grande,24
10,2.5,6/5/18,Good,Medford,24
12,2.8,6/5/18,Good,Portland,24
12,2.9,6/4/18,Good,Bend,24
13,3.1,6/4/18,Good,La Grande,24
8,1.9,6/4/18,Good,Medford,24
13,3.2,6/4/18,Good,Portland,24
14,3.3,6/3/18,Good,Bend,24
19,4.5,6/3/18,Good,La Grande,24
11,2.6,6/3/18,Good,Medford,24
18,4.2,6/3/18,Good,Portland,24
12,3,6/2/18,Good,Bend,24
18,4.4,6/2/18,Good,La Grande,24
10,2.4,6/2/18,Good,Medford,24
15,3.6,6/2/18,Good,Portland,24
10,2.3,6/1/18,Good,Bend,24
13,3.2,6/1/18,Good,La Grande,24
9,2.2,6/1/18,Good,Medford,24
15,3.6,6/1/18,Good,Portland,24
13,3.2,5/31/18,Good,Bend,24
14,3.5,5/31/18,Good,La Grande,24
7,1.8,5/31/18,Good,Medford,24
11,2.5,5/31/18,Good,Portland,24
13,3.2,5/30/18,Good,Bend,24
14,3.3,5/30/18,Good,La Grande,24
8,1.9,5/30/18,Good,Medford,23
13,3,5/30/18,Good,Portland,24
13,3.2,5/29/18,Good,Bend,24
13,3.1,5/29/18,Good,La Grande,24
12,2.9,5/29/18,Good,Medford,24
11,2.7,5/29/18,Good,Portland,24
12,3,5/28/18,Good,Bend,24
15,3.7,5/28/18,Good,La Grande,24
11,2.6,5/28/18,Good,Medford,24
14,3.3,5/28/18,Good,Portland,24
13,3.1,5/27/18,Good,Bend,24
16,3.8,5/27/18,Good,La Grande,24
13,3.2,5/27/18,Good,Medford,24
16,3.9,5/27/18,Good,Portland,24
13,3,5/26/18,Good,Bend,24
16,3.8,5/26/18,Good,La Grande,24
10,2.5,5/26/18,Good,Medford,24
16,3.8,5/26/18,Good,Portland,24
22,5.2,5/25/18,Good,Bend,24
26,6.2,5/25/18,Good,La Grande,24
19,4.5,5/25/18,Good,Medford,24
16,3.8,5/25/18,Good,Portland,24
26,6.2,5/24/18,Good,Bend,24
21,5.1,5/24/18,Good,La Grande,24
21,5,5/24/18,Good,Medford,24
18,4.3,5/24/18,Good,Portland,24
43,10.2,5/23/18,Good,Bend,24
21,5.1,5/23/18,Good,La Grande,24
24,5.7,5/23/18,Good,Medford,23
30,7.2,5/23/18,Good,Portland,23
17,4.1,5/22/18,Good,Bend,24
23,5.6,5/22/18,Good,La Grande,24
18,4.4,5/22/18,Good,Medford,24
29,7.1,5/22/18,Good,Portland,24
17,4,5/21/18,Good,Bend,24
20,4.7,5/21/18,Good,La Grande,24
18,4.4,5/21/18,Good,Medford,24
23,5.4,5/21/18,Good,Portland,24
19,4.5,5/20/18,Good,Bend,24
22,5.3,5/20/18,Good,La Grande,24
18,4.3,5/20/18,Good,Medford,24
18,4.4,5/20/18,Good,Portland,24
20,4.8,5/19/18,Good,Bend,24
22,5.2,5/19/18,Good,La Grande,24
14,3.3,5/19/18,Good,Medford,24
33,7.8,5/19/18,Good,Portland,24
15,3.7,5/18/18,Good,Bend,24
19,4.6,5/18/18,Good,La Grande,24
14,3.3,5/18/18,Good,Medford,24
21,5.1,5/18/18,Good,Portland,24
14,3.4,5/17/18,Good,Bend,24
21,5,5/17/18,Good,La Grande,24
16,3.8,5/17/18,Good,Medford,23
13,3,5/17/18,Good,Portland,24
21,5.1,5/16/18,Good,Bend,22
18,4.4,5/16/18,Good,La Grande,24
18,4.4,5/16/18,Good,Medford,24
15,3.5,5/16/18,Good,Portland,24
19,4.5,5/15/18,Good,Bend,24
24,5.8,5/15/18,Good,La Grande,24
23,5.6,5/15/18,Good,Medford,24
20,4.9,5/15/18,Good,Portland,22
14,3.4,5/14/18,Good,Bend,24
21,4.9,5/14/18,Good,La Grande,24
26,6.2,5/14/18,Good,Medford,24
27,6.5,5/14/18,Good,Portland,24
18,4.3,5/13/18,Good,Bend,24
20,4.7,5/13/18,Good,La Grande,24
19,4.5,5/13/18,Good,Medford,24
33,8,5/13/18,Good,Portland,24
12,2.9,5/12/18,Good,Bend,24
17,4.1,5/12/18,Good,La Grande,24
12,2.8,5/12/18,Good,Medford,24
22,5.2,5/12/18,Good,Portland,24
8,2,5/11/18,Good,Bend,24
9,2.2,5/11/18,Good,La Grande,24
6,1.3,5/11/18,Good,Medford,24
11,2.6,5/11/18,Good,Portland,24
9,2.2,5/10/18,Good,Bend,24
11,2.6,5/10/18,Good,La Grande,24
7,1.6,5/10/18,Good,Medford,24
10,2.3,5/10/18,Good,Portland,24
33,7.9,5/9/18,Good,Bend,24
13,3,5/9/18,Good,La Grande,24
10,2.4,5/9/18,Good,Medford,23
10,2.4,5/9/18,Good,Portland,24
31,7.4,5/8/18,Good,Bend,24
23,5.6,5/8/18,Good,La Grande,24
12,2.9,5/8/18,Good,Medford,24
26,6.2,5/8/18,Good,Portland,24
22,5.4,5/7/18,Good,Bend,24
20,4.7,5/7/18,Good,La Grande,24
15,3.6,5/7/18,Good,Medford,24
24,5.9,5/7/18,Good,Portland,24
19,4.5,5/6/18,Good,Bend,24
19,4.6,5/6/18,Good,La Grande,24
15,3.7,5/6/18,Good,Medford,24
31,7.3,5/6/18,Good,Portland,24
28,6.8,5/5/18,Good,Bend,24
26,6.2,5/5/18,Good,La Grande,24
19,4.6,5/5/18,Good,Medford,24
23,5.6,5/5/18,Good,Portland,24
31,7.4,5/4/18,Good,Bend,24
24,5.8,5/4/18,Good,La Grande,24
19,4.6,5/4/18,Good,Medford,24
21,5,5/4/18,Good,Portland,24
18,4.2,5/3/18,Good,Bend,24
27,6.6,5/3/18,Good,La Grande,24
18,4.4,5/3/18,Good,Medford,24
36,8.5,5/3/18,Good,Portland,24
19,4.7,5/2/18,Good,Bend,24
27,6.4,5/2/18,Good,La Grande,24
24,5.7,5/2/18,Good,Medford,24
